ID,Name,unknown_0,soundOpen,soundUnk,soundClose,unknown_4a,unknown_4b,unknown_4c,unknown_4d,iconId,unknown_5b,textId,unknown_7,menuPropertyLayoutParamId,unknown_9,unknown_10,
0,,0,-1,-1,-1,0,0,3,0,65535,65535,-1,-1,-1,-1,-1
100,,0,-1,-1,-1,0,0,3,0,65535,65535,-1,-1,-1,-1,-1
101,,0,1000,1020,1020,0,0,0,0,40912,0,-1,-1,-1,-1,-1
102,,0,1000,1020,1020,0,0,1,1,65535,65535,-1,-1,-1,110001,110001
103,,0,-1,-1,-1,0,0,0,0,65535,65535,-1,-1,-1,-1,-1
104,Reward,0,1000,101,101,0,0,0,0,40909,0,102010,-1,-1,-1,-1
105,Result,0,1000,100,100,0,0,0,0,40907,0,102008,-1,-1,100040,-1
106,,0,-1,1020,1020,0,0,0,0,40920,0,-1,-1,-1,-1,-1
107,,0,1000,1020,1020,0,0,0,0,65535,65535,-1,-1,-1,-1,-1
108,,0,30720,100,1020,0,0,0,0,65535,65535,-1,-1,-1,-1,-1
109,Set player name,0,-1,-1,1020,0,0,0,0,40920,0,110318,-1,-1,-1,-1
110,System,0,1000,1020,1020,0,2,1,0,40104,0,101003,-1,-1,-1,110001
111,,0,-1,-1,-1,0,0,0,0,65535,65535,-1,-1,-1,-1,-1
112,Result,0,1000,101,101,0,0,0,0,40909,0,102017,-1,-1,100040,-1
200,,0,1000,-1,-1,0,1,1,1,65535,65535,-1,-1,-1,-1,-1
201,Roundtable Hold,0,-1,1020,1020,0,0,1,0,40372,0,102100,-1,-1,-1,110001
202,,0,-1,-1,-1,0,0,1,0,65535,65535,-1,-1,-1,-1,-1
203,Expeditions,0,-1,-1,1020,0,1,1,1,40901,0,102000,-1,-1,-1,-1
204,[Expeditions] Target,0,1000,100,1020,0,0,1,0,40411,0,130416,-1,-1,-1,110001
205,[Expeditions] Matchmaking Settings,0,-1,1020,1020,0,0,1,0,40412,0,130410,-1,-1,-1,110001
206,,0,1000,100,200,0,0,1,0,65535,65535,-1,-1,-1,-1,-1
207,Character Selection,0,30700,-1,30710,0,1,1,1,40902,0,288001,-1,-1,-1,110001
208,Relic Rites,0,30300,30310,30310,0,1,1,1,40904,0,102003,-1,-1,-1,110001
209,Visual Codex,0,30200,30210,30210,0,1,1,1,40905,0,102004,-1,-1,-1,110001
210,[Visual Codex] Characters,0,30220,30230,30230,0,0,1,0,65535,65535,-1,-1,-1,-1,-1
211,[Visual Codex] Equipment,0,30220,30230,30230,0,0,1,0,65535,65535,-1,-1,-1,-1,-1
212,[Visual Codex] Skill/Sorceries/Incantations,0,30220,30230,30230,0,0,1,0,65535,65535,-1,-1,-1,-1,-1
213,[Visual Codex] Guide,0,30220,30230,30230,0,0,1,1,65535,65535,-1,-1,-1,-1,-1
214,[Visual Codex] Handbook,0,30220,30230,30230,0,0,1,1,65535,65535,-1,-1,-1,-1,-1
215,Journal,0,30200,30210,30210,0,1,1,1,40911,0,102005,-1,-1,-1,110001
216,Sparring Settings,0,-1,1020,1020,0,0,1,1,40371,0,144500,-1,-1,-1,110001
217,Character,0,-1,-1,1020,0,0,1,0,40456,0,144501,-1,-1,-1,110001
218,Sparring Equipment,0,30600,30610,30610,0,1,1,1,40916,0,144000,-1,-1,-1,110001
219,[Sparring Equipment] Armaments,0,30000,30100,30100,0,0,1,0,65535,65535,-1,-1,-1,-1,-1
220,[Sparring Equipment] Skill/Sorc/Incan,0,30000,30100,30100,0,0,1,0,65535,65535,-1,-1,-1,-1,-1
221,[Sparring Equipment] Consumables,0,30000,30100,30100,0,0,1,0,65535,65535,-1,-1,-1,-1,-1
222,[Sparring Equipment] Handbook,0,30000,30100,30100,0,0,1,1,40918,0,144600,-1,-1,-1,-1
223,Change Garb,0,30400,-1,30410,0,1,1,1,40903,0,102002,-1,-1,-1,110001
224,,0,1000,1020,1020,0,0,1,1,65535,65535,-1,-1,-1,-1,-1
