ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,areaNo,gridXNo,gridZNo,mapIdPad,birdRouteEntityId,requireModifier,excludeModifier1,excludeModifier2,spawnGridAreaNo,spawnGridXNo,spawnGridZNo,spawnMapIdPad,spawnPointEntityId,
10423600,Far Southwest from Northwest,1,0,[0|0|0],0,41,37,0,1942363200,700,15,0,0,42,36,0,1042362200
10423601,Far Southwest from South,1,0,[0|0|0],0,42,35,0,1942363201,700,15,0,0,42,36,0,1042362200
10423800,Stormhill South of Gate from Northwest,1,0,[0|0|0],0,41,38,0,1942383200,701,15,0,0,42,37,0,1042372200
10423801,Stormhill South of Gate from South,1,0,[0|0|0],0,42,36,0,1942383202,701,15,0,0,42,37,0,1042372200
10423803,West of Warmaster's Shack from West,1,0,[0|0|0],0,41,39,0,1942383201,702,11,0,0,42,38,0,1042382200
10423805,West of Warmaster's Shack from South,1,0,[0|0|0],0,42,37,0,1942383205,702,11,0,0,42,38,0,1042382200
10423900,Above Stormhill Tunnel Entrance from Northwest,1,0,[0|0|0],0,42,39,0,1942393200,703,11,12,0,43,38,0,1043382200
10423902,Above Stormhill Tunnel Entrance from East,1,0,[0|0|0],0,43,39,0,1942393202,703,11,12,0,43,38,0,1043382200
10423911,Above Stormhill Tunnel Entrance from West,1,0,[0|0|0],0,42,38,0,1942393211,703,11,12,0,43,38,0,1043382200
10443700,Southeast of Lake from South,1,0,[0|0|0],0,44,35,0,1944373200,704,13,0,0,44,36,0,1044362200
10443701,Southeast of Lake from Southwest,1,0,[0|0|0],0,43,35,0,1944373201,704,13,0,0,44,36,0,1044362200
10443703,East of Cavalry Bridge from Southeast,1,0,[0|0|0],0,44,36,0,1944373202,705,13,0,0,44,37,0,1044372200
10443704,East of Cavalry Bridge from North,1,0,[0|0|0],0,44,38,0,1944373203,705,13,0,0,44,37,0,1044372200
10443705,East of Cavalry Bridge from West,1,0,[0|0|0],0,43,37,0,1944373205,705,13,0,0,44,37,0,1044372200
10443711,Southeast of Lake from East,1,0,[0|0|0],0,45,36,0,1944373211,704,13,0,0,44,36,0,1044362200
10443900,Northeast of Saintsbridge from Northwest,1,0,[0|0|0],0,43,40,0,1944393200,706,12,0,0,44,39,0,1044392200
10443902,Northeast of Saintsbridge from Northeast,1,0,[0|0|0],0,44,40,0,1944393202,706,12,0,0,44,39,0,1044392200
10453600,Minor Erdtree from Northeast,1,0,[0|0|0],0,46,38,0,1945363200,707,13,0,0,45,37,0,1045372200
10453801,Below Summonwater Hawk from Southeast,1,0,[0|0|0],0,46,38,0,1945383200,708,0,0,0,45,38,0,1045382200
10453900,Below Summonwater Hawk from West,1,0,[0|0|0],0,44,39,0,1945393200,708,0,0,0,45,38,0,1045382200
110423600,Great Hollow - West Kaiden Ruins,1,0,[0|0|0],0,42,36,0,1926403200,13000,0,0,0,42,36,0,1026402200
110433600,Great Hollow - South Cuckoo Camp,1,0,[0|0|0],0,43,35,0,1936403200,13001,0,0,0,43,36,0,1036402200
110453900,Great Hollow - North Waterfall,1,0,[0|0|0],0,44,39,0,1959403200,13002,0,0,0,45,39,0,1059402200
