ID,Name,iconId,
1,Grace,42000
2,Church,42001
3,Ruins,42002
4,Township,42003
5,Evergaol,42004
6,Sorcerer's Rise,42005
7,Fort,42006
10,Main Encampment,42009
11,Castle,42010
12,,42011
13,Spectral Hawk Tree,42012
16,Field Boss,42015
17,Scarab,42016
21,Merchant,42020
22,Sorcerer's Rise 2,42021
23,Tunnel Entrance,42022
24,Great Church,42023
25,Scale-bearing Merchant,42024
27,Cave Entrance ?,42026
28,Field Boss [Hard],42027
30,Church [Looted],42001
31,Evergaol [Open],42029
32,Sorcerer's Rise [Unlocked],42030
33,Sorcerer's Rise [Looted],42031
34,Sorcerer's Rise 2 [Unlocked],42032
35,Sorcerer's Rise 2 [Looted],42033
36,,42036
40,Mutated Field Boss,42034
41,Mutated Field Boss [Hard],42035
50,,42100
51,,42101
52,,42102
60,Mission Objective,42200
61,Shifting Earth Objective,42201
62,Buried Treasure,42202
70,,42040
71,,42041
72,,42042
73,,42043
74,,42044
75,,42045
76,,42046
77,,42047
78,,42048
79,,42049
80,Second day tree,42220
121,,42330
122,,42331
123,,42332
126,,42335
134,,42019
137,Spiritstream,42407
